ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
19,Indian Wells,Pacific Life Open,03/13/2005,Masters,Outdoor,Hard,2nd Round,3,Hernych J.,Spadea V.,74,21,,,6,2,1,6,7,6,,,,,2,1,Completed,2.62,1.44,2.45,1.53,2.35,1.55,2.1,1.5,2.59,1.559
19,Indian Wells,Pacific Life Open,03/13/2005,Masters,Outdoor,Hard,2nd Round,3,Canas G.,Carlsen K.,14,56,,,6,4,6,3,,,,,,,2,0,Completed,1.3,3.39,1.28,3.55,1.28,3.46,1.3,2.7,1.312,3.71
19,Indian Wells,Pacific Life Open,03/13/2005,Masters,Outdoor,Hard,2nd Round,3,Ferrer D.,Grosjean S.,47,28,,,6,2,3,6,6,1,,,,,2,1,Completed,2.37,1.53,2.15,1.67,2.25,1.6,1.85,1.65,2.29,1.671
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,2nd Round,3,Santoro F.,Johansson J.,54,11,,,4,6,6,2,7,6,,,,,2,1,Completed,5,1.14,4.65,1.18,4.67,1.17,3.8,1.15,5,1.2
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,2nd Round,3,Moya C.,Ferrero J.C.,7,93,,,6,3,6,4,,,,,,,2,0,Completed,2.1,1.66,2.15,1.67,2.1,1.7,1.7,1.8,2.53,1.578
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,2nd Round,3,Safin M.,Nieminen J.,4,142,,,4,6,6,1,7,5,,,,,2,1,Completed,1.14,5,1.14,5.4,1.15,5.2,1.15,3.8,1.158,5.84
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,2nd Round,3,Llodra M.,Hrbaty D.,52,29,,,4,6,6,1,6,2,,,,,2,1,Completed,2.5,1.5,2.2,1.65,2.3,1.6,2.1,1.5,2.64,1.543
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,2nd Round,3,Hewitt L.,Ginepri R.,2,73,,,6,2,7,6,,,,,,,2,0,Completed,1.11,6,1.1,6.5,1.1,6.75,1.1,4.5,1.132,6.77
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,3rd Round,3,Henman T.,Melzer J.,6,34,,,7,5,6,4,,,,,,,2,0,Completed,1.3,3.39,1.35,3.1,1.35,3.1,1.35,2.5,1.417,3.05
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,3rd Round,3,Robredo T.,Enqvist T.,12,97,,,4,6,6,2,7,6,,,,,2,1,Completed,1.66,2.1,1.62,2.25,1.6,2.3,1.65,1.85,1.595,2.48
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,3rd Round,3,Nalbandian D.,Bjorkman J.,10,89,,,6,1,3,6,6,1,,,,,2,1,Completed,1.14,5,1.14,5.4,1.1,6.25,1.15,3.8,1.133,6.7
19,Indian Wells,Pacific Life Open,03/14/2005,Masters,Outdoor,Hard,3rd Round,3,Gonzalez F.,Blake J.,17,151,,,6,4,0,6,6,3,,,,,2,1,Completed,1.61,2.2,1.67,2.15,1.67,2.12,1.6,1.9,1.61,2.44
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Roddick A.,Novak J.,3,27,,,6,1,6,2,,,,,,,2,0,Completed,1.19,4.33,1.14,5.4,1.2,4.25,1.15,3.8,1.174,5.35
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Kiefer N.,Gaudio G.,31,8,,,6,3,6,1,,,,,,,2,0,Completed,1.66,2.1,1.7,2.1,1.65,2.15,1.55,2,1.704,2.22
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Agassi A.,Pavel A.,9,22,,,6,3,6,4,,,,,,,2,0,Completed,1.19,4.33,1.18,4.75,1.2,4.25,1.15,3.8,1.171,5.55
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Coria G.,Srichaphan P.,5,33,,,6,4,6,2,,,,,,,2,0,Completed,1.44,2.62,1.53,2.45,1.5,2.45,1.5,2.1,1.559,2.59
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Santoro F.,Lopez F.,54,25,,,6,4,6,2,,,,,,,2,0,Completed,2.62,1.44,2.4,1.55,2.3,1.6,2.5,1.4,2.56,1.568
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Moya C.,Ferrer D.,7,47,,,6,3,6,4,,,,,,,2,0,Completed,1.25,3.5,1.3,3.4,1.28,3.46,1.25,3.2,1.267,4.25
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Hewitt L.,Llodra M.,2,52,,,6,2,7,6,,,,,,,2,0,Completed,1.08,7,1.1,6.5,1.1,6.25,1.1,5,1.091,9
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Canas G.,Chela J.I.,14,23,,,7,5,2,6,6,4,,,,,2,1,Completed,1.66,2.1,1.62,2.25,1.55,2.35,1.55,2.1,1.662,2.31
19,Indian Wells,Pacific Life Open,03/15/2005,Masters,Outdoor,Hard,3rd Round,3,Federer R.,Muller G.,1,67,,,6,3,6,2,,,,,,,2,0,Completed,1.02,11,1.03,11,1.04,9.25,1.05,6,1.03,23.5
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,3rd Round,3,Mathieu P.H.,Hernych J.,96,74,,,6,4,4,6,7,6,,,,,2,1,Completed,1.57,2.25,1.67,2.15,1.58,2.28,1.55,2.1,1.585,2.51
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,3rd Round,3,Dent T.,Safin M.,32,4,,,7,5,6,4,,,,,,,2,0,Completed,3.39,1.3,3.4,1.3,3.12,1.34,2.9,1.3,3.73,1.31
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,3rd Round,3,Ljubicic I.,Berdych T.,13,48,,,6,4,6,1,,,,,,,2,0,Completed,1.25,3.75,1.33,3.2,1.3,3.35,1.3,2.9,1.26,4.25
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,4th Round,3,Kiefer N.,Nalbandian D.,31,10,,,6,1,6,3,,,,,,,2,0,Completed,2.5,1.5,2.45,1.53,2.55,1.5,2.2,1.5,2.57,1.565
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,4th Round,3,Henman T.,Robredo T.,6,12,,,6,4,2,6,6,2,,,,,2,1,Completed,1.5,2.5,1.55,2.4,1.5,2.45,1.5,2.2,1.571,2.55
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,4th Round,3,Moya C.,Santoro F.,7,54,,,7,5,6,2,,,,,,,2,0,Completed,1.28,3.5,1.33,3.2,1.3,3.35,1.3,2.9,1.333,3.55
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,4th Round,3,Hewitt L.,Mathieu P.H.,2,96,,,6,1,6,0,,,,,,,2,0,Completed,1.14,5,1.09,6.85,1.1,5.85,1.1,5,1.093,9
19,Indian Wells,Pacific Life Open,03/16/2005,Masters,Outdoor,Hard,4th Round,3,Roddick A.,Gonzalez F.,3,17,,,6,4,6,3,,,,,,,2,0,Completed,1.25,3.75,1.28,3.55,1.25,3.9,1.2,3.6,1.256,4.3
19,Indian Wells,Pacific Life Open,03/17/2005,Masters,Outdoor,Hard,4th Round,3,Agassi A.,Coria G.,9,5,,,6,4,6,1,,,,,,,2,0,Completed,1.44,2.62,1.4,2.85,1.48,2.53,1.4,2.5,1.467,2.88
19,Indian Wells,Pacific Life Open,03/17/2005,Masters,Outdoor,Hard,4th Round,3,Canas G.,Dent T.,14,32,,,6,3,,,,,,,,,1,0,Retired,1.8,1.9,1.77,2,1.85,1.9,1.65,1.95,1.787,2.07
19,Indian Wells,Pacific Life Open,03/17/2005,Masters,Outdoor,Hard,4th Round,3,Federer R.,Ljubicic I.,1,13,,,7,6,7,6,,,,,,,2,0,Completed,1.12,5.5,1.14,5.4,1.17,4.67,1.15,4,1.197,5.08
19,Indian Wells,Pacific Life Open,03/17/2005,Masters,Outdoor,Hard,Quarterfinals,3,Canas G.,Henman T.,14,6,,,7,6,7,5,,,,,,,2,0,Completed,1.9,1.8,1.97,1.8,2,1.75,1.9,1.7,2.17,1.73
19,Indian Wells,Pacific Life Open,03/18/2005,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Kiefer N.,1,31,,,6,4,6,1,,,,,,,2,0,Completed,1.06,8,1.06,8.25,1.1,6.25,1.1,5,1.069,11.75
19,Indian Wells,Pacific Life Open,03/18/2005,Masters,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Agassi A.,2,9,,,,,,,,,,,,,,,Walkover,1.57,2.25,1.65,2.2,1.65,2.2,1.75,1.85,1.613,2.43
19,Indian Wells,Pacific Life Open,03/19/2005,Masters,Outdoor,Hard,Quarterfinals,3,Roddick A.,Moya C.,3,7,,,6,7,6,4,6,1,,,,,2,1,Completed,1.28,3.5,1.3,3.4,1.34,3.12,1.3,2.9,1.29,3.95
19,Indian Wells,Pacific Life Open,03/19/2005,Masters,Outdoor,Hard,Semifinals,3,Federer R.,Canas G.,1,14,,,6,3,6,1,,,,,,,2,0,Completed,1.07,8,1.09,7,1.09,6.68,1.1,5,1.087,9.54
19,Indian Wells,Pacific Life Open,03/20/2005,Masters,Outdoor,Hard,Semifinals,3,Hewitt L.,Roddick A.,2,3,,,7,6,6,7,7,6,,,,,2,1,Completed,1.72,2.1,1.75,2.05,1.65,2.15,1.8,1.8,1.794,2.06
19,Indian Wells,Pacific Life Open,03/20/2005,Masters,Outdoor,Hard,The Final,5,Federer R.,Hewitt L.,1,2,,,6,2,6,4,6,4,,,,,3,0,Completed,1.12,6,1.14,5.5,1.13,5.95,1.15,4,1.147,6.15
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Ferrer D.,Kohlschreiber P.,44,67,,,6,2,7,6,,,,,,,2,0,Completed,1.44,2.62,1.4,2.85,1.45,2.6,1.45,2.35,1.435,3
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Lee H.T.,Enqvist T.,58,101,,,3,6,6,4,6,3,,,,,2,1,Completed,2.62,1.44,2.7,1.45,2.53,1.48,2.5,1.4,2.84,1.476
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Ginepri R.,Volandri F.,68,41,,,7,6,6,1,,,,,,,2,0,Completed,1.25,3.75,1.25,3.85,1.26,3.59,1.25,3.2,1.253,4.35
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Martin A.,Calleri A.,57,66,,,3,6,6,3,7,6,,,,,2,1,Completed,2.5,1.5,2.4,1.55,2.75,1.42,2.2,1.5,2.79,1.488
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Labadze I.,El Aynaoui Y.,136,713,,,6,4,1,6,6,1,,,,,2,1,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Acasuso J.,Melzer J.,71,35,,,6,4,6,3,,,,,,,2,0,Completed,3,1.36,2.85,1.4,2.75,1.42,2.9,1.3,2.95,1.444
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Kim K.,Horna L.,63,43,,,6,4,4,6,7,6,,,,,2,1,Completed,1.57,2.25,1.6,2.3,1.68,2.1,1.55,2.1,1.658,2.32
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Verdasco F.,Wessels P.,45,75,,,6,4,7,5,,,,,,,2,0,Completed,1.36,3,1.3,3.4,1.3,3.35,1.3,2.9,1.282,4.05
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Schuettler R.,Starace P.,39,65,,,7,6,5,7,7,6,,,,,2,1,Completed,1.25,3.75,1.3,3.4,1.3,3.35,1.3,2.9,1.377,3.25
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Ferrero J.C.,Evans B.,85,554,,,6,2,6,4,,,,,,,2,0,Completed,1.05,8.5,1.07,7.75,1.05,7.75,1.1,5,1.067,12
20,Miami,NASDAQ-100 Open,03/23/2005,Masters,Outdoor,Hard,1st Round,3,Rusedski G.,Seppi A.,42,143,,,4,6,6,4,6,4,,,,,2,1,Completed,1.28,3.5,1.35,3.1,1.37,2.92,1.3,2.9,1.377,3.25
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Andreev I.,Almagro N.,49,83,,,7,6,2,6,7,6,,,,,2,1,Completed,1.53,2.37,1.65,2.2,1.7,2.08,1.5,2.2,1.617,2.42
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Monfils G.,Llodra M.,128,50,,,3,6,6,4,6,3,,,,,2,1,Completed,2.1,1.66,2.2,1.65,2.12,1.67,2.2,1.5,2.46,1.602
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Bjorkman J.,Mirnyi M.,90,37,,,2,6,6,4,6,1,,,,,2,1,Completed,2.25,1.57,2.2,1.65,2.15,1.65,2,1.6,2.11,1.763
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Blake J.,Carlsen K.,192,55,,,6,3,6,2,,,,,,,2,0,Completed,1.57,2.25,1.57,2.35,1.58,2.28,1.6,2,1.571,2.55
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Nieminen J.,Saulnier C.,129,48,,,6,2,7,6,,,,,,,2,0,Completed,2,1.72,2.05,1.75,1.9,1.85,1.95,1.65,1.99,1.84
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Minar I.,Monaco J.,109,91,,,4,6,6,3,6,3,,,,,2,1,Completed,,,,,,,,,,
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Rochus O.,Karlovic I.,40,59,,,5,7,7,6,7,6,,,,,2,1,Completed,1.39,2.75,1.48,2.6,1.45,2.6,1.45,2.35,1.532,2.68
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Mayer F.,Burgsmuller L.,51,87,,,6,2,6,3,,,,,,,2,0,Completed,1.72,2,1.7,2.1,1.75,2,1.75,1.85,1.725,2.18
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Fish M.,Zib T.,54,77,,,7,6,6,7,6,3,,,,,2,1,Completed,1.5,2.5,1.57,2.35,1.5,2.45,1.5,2.2,1.575,2.54
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Mello R.,Ventura S.,53,74,,,6,0,1,0,,,,,,,1,0,Retired,1.19,4,1.25,3.85,1.3,3.35,1.35,2.7,1.25,4.35
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Lisnard J.R.,Young D.,100,740,,,6,4,7,5,,,,,,,2,0,Completed,1.16,4.5,1.16,4.75,1.15,4.9,1.15,4,1.243,4.46
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Phau B.,Calatrava A.,106,78,,,7,6,6,0,,,,,,,2,0,Completed,1.5,2.5,1.48,2.6,1.6,2.25,1.45,2.35,1.556,2.6
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Mathieu P.H.,Tabara M.,76,99,,,4,6,7,6,6,4,,,,,2,1,Completed,1.28,3.5,1.33,3.2,1.37,2.92,1.3,2.9,1.323,3.65
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Zabaleta M.,Muller G.,52,61,,,6,4,6,2,,,,,,,2,0,Completed,1.9,1.8,2.1,1.7,2.1,1.7,1.9,1.7,2.09,1.775
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Philippoussis M.,Rochus C.,188,64,,,6,4,6,2,,,,,,,2,0,Completed,2,1.72,2.15,1.65,2.12,1.67,1.8,1.8,2.25,1.69
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Hanescu V.,Dupuis A.,104,113,,,6,4,6,1,,,,,,,2,0,Completed,1.57,2.25,1.62,2.25,1.45,2.6,1.8,1.8,1.585,2.51
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Benneteau J.,Sargsian S.,80,79,,,6,0,6,3,,,,,,,2,0,Completed,1.57,2.25,,,1.7,2.1,1.9,1.7,1.621,2.41
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Sanguinetti D.,Hernych J.,84,69,,,7,6,6,1,,,,,,,2,0,Completed,2.1,1.66,2.4,1.55,2.3,1.6,1.95,1.65,3.01,1.433
20,Miami,NASDAQ-100 Open,03/24/2005,Masters,Outdoor,Hard,1st Round,3,Morrison J.,Koubek S.,108,72,,,6,2,6,4,,,,,,,2,0,Completed,1.39,2.75,,,1.4,2.75,1.55,2.1,1.364,3.35
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,1st Round,3,Clement A.,Berdych T.,124,46,,,6,3,3,0,,,,,,,1,0,Retired,2,1.72,2,1.77,1.87,1.87,1.9,1.7,1.885,1.935
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,1st Round,3,Lapentti N.,Beck K.,148,38,,,6,1,7,6,,,,,,,2,0,Completed,3.25,1.33,3.2,1.33,2.88,1.38,2.5,1.4,3.53,1.341
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Lee H.T.,Youzhny M.,58,19,,,6,1,6,4,,,,,,,2,0,Completed,2.5,1.5,2.45,1.53,2.15,1.65,2.5,1.4,2.72,1.513
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Johansson T.,Rusedski G.,27,42,,,6,3,6,4,,,,,,,2,0,Completed,1.66,2.1,1.67,2.15,1.75,2,1.7,1.9,1.775,2.09
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Novak J.,Kim K.,26,63,,,6,1,6,2,,,,,,,2,0,Completed,1.39,2.75,1.5,2.55,1.5,2.45,1.35,2.7,1.532,2.68
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Moya C.,Blake J.,6,192,,,4,6,7,5,7,6,,,,,2,1,Completed,1.39,2.75,1.5,2.55,1.5,2.45,1.45,2.35,1.5,2.75
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Robredo T.,Bjorkman J.,13,90,,,6,4,6,0,,,,,,,2,0,Completed,1.33,3.25,1.28,3.55,1.3,3.35,1.4,2.5,1.277,4.06
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Monfils G.,Davydenko N.,128,15,,,4,6,6,1,6,4,,,,,2,1,Completed,2.62,1.44,2.55,1.5,2.53,1.48,2.2,1.5,3.05,1.417
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Andreev I.,Pavel A.,49,22,,,6,2,6,1,,,,,,,2,0,Completed,2.2,1.61,2.2,1.65,2.1,1.7,2.1,1.55,2.51,1.585
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Spadea V.,Ginepri R.,23,68,,,6,3,6,4,,,,,,,2,0,Completed,1.8,1.9,1.93,1.83,1.87,1.87,1.8,1.8,1.909,1.909
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Canas G.,85,12,,,6,4,2,6,6,4,,,,,2,1,Completed,2.1,1.66,2.2,1.65,2.05,1.7,2,1.6,2.14,1.746
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Ljubicic I.,Martin A.,14,57,,,6,3,6,3,,,,,,,2,0,Completed,1.08,7,1.13,5.65,1.115,5.84,1.1,5,1.118,7.5
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Verdasco F.,Roddick A.,45,3,,,7,6,4,3,,,,,,,1,0,Retired,6,1.11,5.65,1.13,4.67,1.17,4,1.15,6.9,1.129
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Ferrer D.,Malisse X.,44,34,,,3,6,5,5,,,,,,,0,1,Retired,2.37,1.53,2.4,1.55,2.3,1.6,2.35,1.45,2.7,1.526
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Nalbandian D.,Acasuso J.,9,71,,,6,3,6,3,,,,,,,2,0,Completed,1.16,4.5,1.22,4.1,1.25,3.75,1.15,4,1.26,4.25
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Nadal R.,Schuettler R.,31,39,,,6,4,7,6,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.35,3.05,1.5,2.2,1.294,3.9
20,Miami,NASDAQ-100 Open,03/25/2005,Masters,Outdoor,Hard,2nd Round,3,Hrbaty D.,Nieminen J.,28,129,,,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,1.7,2.1,1.72,2.05,1.55,2.1,1.633,2.38
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Safin M.,Labadze I.,4,136,,,6,4,2,6,7,6,,,,,2,1,Completed,,,,,,,1.1,5,1.08,10.27
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Chela J.I.,Lisnard J.R.,30,100,,,1,6,6,2,6,2,,,,,2,1,Completed,1.16,4.5,1.18,4.65,1.23,3.89,1.3,2.9,1.138,6.35
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Gaudio G.,Phau B.,8,106,,,6,2,6,2,,,,,,,2,0,Completed,1.25,3.75,1.3,3.4,1.25,3.75,1.3,2.9,1.274,4.1
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Morrison J.,Johansson J.,108,11,,,7,6,6,4,,,,,,,2,0,Completed,4.5,1.16,5,1.16,4.4,1.19,3.6,1.2,6,1.148
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Stepanek R.,Benneteau J.,25,80,,,7,5,6,0,,,,,,,2,0,Completed,1.36,3,1.4,2.85,1.47,2.56,1.4,2.5,1.526,2.7
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Coria G.,Sanguinetti D.,5,84,,,6,1,6,4,,,,,,,2,0,Completed,1.16,4.5,1.14,5.4,1.2,4.25,1.25,3.2,1.119,7.43
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Dent T.,Hanescu V.,33,104,,,2,6,6,1,4,0,,,,,1,1,Retired,1.25,3.75,1.35,3.1,1.27,3.53,1.25,3.2,1.312,3.71
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Clement A.,Lopez F.,124,21,,,6,1,7,5,,,,,,,2,0,Completed,2.25,1.57,2.1,1.7,2.12,1.67,2,1.6,2.21,1.709
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Henman T.,Minar I.,7,109,,,6,3,7,5,,,,,,,2,0,Completed,1.19,4.33,1.22,4.1,1.2,4.25,1.2,3.6,1.2,5
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Rochus O.,1,40,,,6,3,6,1,,,,,,,2,0,Completed,1.05,8.5,1.05,9,1.05,7.75,1.05,6,1.031,22
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Mayer F.,Kiefer N.,51,24,,,6,4,6,2,,,,,,,2,0,Completed,3.25,1.33,3.35,1.3,3.22,1.32,2.7,1.35,3.95,1.29
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Zabaleta M.,Srichaphan P.,52,32,,,7,6,6,3,,,,,,,2,0,Completed,2.5,1.5,2.3,1.6,2.28,1.58,2.2,1.5,2.65,1.541
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Ancic M.,Mello R.,20,53,,,6,1,6,4,,,,,,,2,0,Completed,1.61,2.2,1.77,2,1.78,1.97,1.4,2.5,1.69,2.25
20,Miami,NASDAQ-100 Open,03/26/2005,Masters,Outdoor,Hard,2nd Round,3,Haas T.,Fish M.,17,54,,,7,6,7,5,,,,,,,2,0,Completed,1.53,2.37,1.53,2.45,1.58,2.28,1.45,2.35,1.585,2.51
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,2nd Round,3,Gonzalez F.,Philippoussis M.,16,188,,,,,,,,,,,,,,,Walkover,1.36,2.87,1.28,3.55,1.25,3.6,1.5,2.2,1.37,3.3
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,2nd Round,3,Grosjean S.,Lapentti N.,29,148,,,6,1,6,3,,,,,,,2,0,Completed,1.57,2.25,1.62,2.25,1.7,2.1,1.55,2.1,1.541,2.65
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,2nd Round,3,Agassi A.,Mathieu P.H.,10,76,,,7,5,6,4,,,,,,,2,0,Completed,1.12,5.5,1.16,5,1.2,4.25,1.2,3.6,1.152,6
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,3rd Round,3,Novak J.,Robredo T.,26,13,,,,,,,,,,,,,,,Walkover,1.83,1.83,1.83,1.93,,,1.75,1.85,1.741,2.15
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,3rd Round,3,Ljubicic I.,Spadea V.,14,23,,,6,3,4,6,7,6,,,,,2,1,Completed,1.25,3.75,1.28,3.55,1.35,3.1,1.25,3.2,1.345,3.5
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,3rd Round,3,Ferrero J.C.,Andreev I.,85,49,,,6,4,6,3,,,,,,,2,0,Completed,1.3,3.39,1.35,3.1,1.4,2.75,1.35,2.7,1.346,3.49
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,3rd Round,3,Monfils G.,Lee H.T.,128,58,,,7,6,3,6,7,6,,,,,2,1,Completed,1.66,2.1,1.65,2.2,1.75,2,1.8,1.8,1.752,2.13
20,Miami,NASDAQ-100 Open,03/27/2005,Masters,Outdoor,Hard,3rd Round,3,Hrbaty D.,Safin M.,28,4,,,7,6,6,1,,,,,,,2,0,Completed,3.25,1.33,2.8,1.42,2.6,1.45,2.35,1.45,3.25,1.377
