ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Querrey S.,Darcis S.,63,86,573,474,7,5,6,4,,,,,,,2,0,Completed,1.53,2.37,1.63,2.2,1.533,2.375,1.667,2.4,1.6,2.3
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Sirianni J.,Stepanek R.,195,30,218,930,7,6,4,3,,,,,,,1,0,Retired,6.5,1.1,5.5,1.13,5.5,1.125,5.94,1.184,6.3,1.11
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Russell M.,Del Potro J.M.,82,44,481,690,6,3,6,3,,,,,,,2,0,Completed,3.75,1.25,3.75,1.25,3.4,1.3,3.55,1.364,3.4,1.3
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Becker B.,Smeets R.,84,150,476,286,3,6,6,4,6,2,,,,,2,1,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.538,2.76,1.4,2.85
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Zverev M.,Mayer F.,88,55,468,611,6,3,6,3,,,,,,,2,0,Completed,1.72,2,1.75,2,1.909,1.8,1.893,2.02,1.92,1.84
1,Adelaide,Next Generation Adelaide International,12/31/2007,International,Outdoor,Hard,1st Round,3,Llodra M.,Simon G.,93,29,460,955,7,6,6,3,,,,,,,2,0,Completed,2.5,1.5,2.5,1.5,2.375,1.533,2.34,1.694,2.4,1.54
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Mathieu P.H.,Benneteau J.,25,68,1320,540,7,6,7,5,,,,,,,2,0,Completed,1.44,2.62,1.44,2.67,1.5,2.5,1.538,2.76,1.52,2.45
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Korolev E.,Jones A.,80,131,487,338,6,2,7,6,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Guccione C.,Odesnik W.,91,126,462,357,7,5,7,6,,,,,,,2,0,Completed,1.57,2.25,1.6,2.3,1.571,2.25,1.592,2.59,1.67,2.15
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Nieminen J.,Klec I.,27,224,995,184,6,2,6,4,,,,,,,2,0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.2,5.5,1.18,4.6
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Tsonga J.W.,Hanescu V.,43,76,714,517,6,3,4,6,7,5,,,,,2,1,Completed,1.28,3.5,1.35,3.1,1.286,3.5,1.364,3.55,1.33,3.2
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Spadea V.,Grosjean S.,77,53,515,621,4,6,6,1,6,3,,,,,2,1,Completed,2.87,1.38,3.1,1.35,2.625,1.444,2.94,1.467,2.68,1.45
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Acasuso J.,Falla A.,65,81,566,481,6,3,7,6,,,,,,,2,0,Completed,1.8,1.9,1.8,1.95,1.833,1.833,2.03,1.885,1.84,1.92
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Hewitt L.,Sela D.,21,64,1365,573,6,2,6,2,,,,,,,2,0,Completed,1.14,5,1.15,5.2,1.167,4.5,1.222,5.1,1.2,4.35
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Dancevic F.,Bolelli S.,72,67,521,541,6,2,7,6,,,,,,,2,0,Completed,1.57,2.25,1.7,2.1,1.571,2.25,1.645,2.45,1.57,2.34
1,Adelaide,Next Generation Adelaide International,01/01/2008,International,Outdoor,Hard,1st Round,3,Gulbis E.,Golubev A.,61,177,585,239,6,7,6,4,6,2,,,,,2,1,Completed,1.4,2.75,,,1.4,2.75,1.51,2.81,,
1,Adelaide,Next Generation Adelaide International,01/02/2008,International,Outdoor,Hard,2nd Round,3,Sirianni J.,Querrey S.,195,63,218,573,6,7,6,2,6,3,,,,,2,1,Completed,3,1.36,3.35,1.3,3.25,1.333,3.31,1.398,3.2,1.33
1,Adelaide,Next Generation Adelaide International,01/02/2008,International,Outdoor,Hard,2nd Round,3,Becker B.,Russell M.,84,82,476,481,6,4,6,4,,,,,,,2,0,Completed,1.83,1.83,2.15,1.65,2.2,1.615,2.28,1.725,2.2,1.64
1,Adelaide,Next Generation Adelaide International,01/02/2008,International,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Guccione C.,25,91,1320,462,4,6,6,3,6,4,,,,,2,1,Completed,1.4,2.75,1.37,2.92,1.4,2.75,1.442,3.06,1.37,3
1,Adelaide,Next Generation Adelaide International,01/02/2008,International,Outdoor,Hard,2nd Round,3,Llodra M.,Korolev E.,93,80,460,487,7,6,6,3,,,,,,,2,0,Completed,1.83,1.83,1.75,2,1.833,1.833,1.87,2.05,1.72,2.08
1,Adelaide,Next Generation Adelaide International,01/03/2008,International,Outdoor,Hard,2nd Round,3,Nieminen J.,Dancevic F.,27,72,995,521,6,4,6,1,,,,,,,2,0,Completed,1.44,2.62,1.53,2.4,1.444,2.625,1.469,2.93,1.47,2.6
1,Adelaide,Next Generation Adelaide International,01/03/2008,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Acasuso J.,21,65,1365,566,6,2,6,2,,,,,,,2,0,Completed,1.28,3.5,1.2,4.45,1.167,4.5,1.21,5.36,1.2,4.35
1,Adelaide,Next Generation Adelaide International,01/03/2008,International,Outdoor,Hard,2nd Round,3,Spadea V.,Zverev M.,77,88,515,468,6,3,7,5,,,,,,,2,0,Completed,2,1.72,2.15,1.65,2,1.727,2.13,1.813,1.92,1.84
1,Adelaide,Next Generation Adelaide International,01/03/2008,International,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Gulbis E.,43,61,714,585,6,3,6,2,,,,,,,2,0,Completed,1.53,2.37,1.5,2.45,1.571,2.25,1.575,2.64,1.52,2.46
1,Adelaide,Next Generation Adelaide International,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Llodra M.,Becker B.,93,84,460,476,7,6,6,4,,,,,,,2,0,Completed,1.83,1.83,1.85,1.9,1.833,1.833,1.901,2.01,1.81,1.96
1,Adelaide,Next Generation Adelaide International,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Sirianni J.,Mathieu P.H.,195,25,218,1320,1,6,6,1,7,6,,,,,2,1,Completed,4.33,1.2,4.25,1.2,4.5,1.167,5.55,1.198,5,1.16
1,Adelaide,Next Generation Adelaide International,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,Hewitt L.,43,21,714,1365,6,4,6,2,,,,,,,2,0,Completed,3.75,1.25,3.75,1.25,3.5,1.286,4.05,1.299,3.62,1.27
1,Adelaide,Next Generation Adelaide International,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Nieminen J.,Spadea V.,27,77,995,515,7,6,6,7,7,6,,,,,2,1,Completed,1.28,3.5,1.33,3.17,1.333,3.25,1.303,4,1.33,3.2
1,Adelaide,Next Generation Adelaide International,01/05/2008,International,Outdoor,Hard,Semifinals,3,Llodra M.,Sirianni J.,93,195,460,218,6,3,7,6,,,,,,,2,0,Completed,1.53,2.37,1.48,2.53,1.571,2.25,1.552,2.71,1.5,2.52
1,Adelaide,Next Generation Adelaide International,01/05/2008,International,Outdoor,Hard,Semifinals,3,Nieminen J.,Tsonga J.W.,27,43,995,714,6,2,6,4,,,,,,,2,0,Completed,2,1.72,2.1,1.7,2.1,1.667,2.45,1.645,2.34,1.57
1,Adelaide,Next Generation Adelaide International,01/06/2008,International,Outdoor,Hard,The Final,3,Llodra M.,Nieminen J.,93,27,460,995,6,3,6,4,,,,,,,2,0,Completed,3.4,1.33,2.75,1.42,3,1.364,3.25,1.408,3.14,1.34
2,Chennai,Chennai Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Malisse X.,Muller G.,112,117,390,380,6,4,6,3,,,,,,,2,0,Completed,1.5,2.5,1.5,2.45,1.444,2.625,1.571,2.65,1.52,2.45
2,Chennai,Chennai Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Melzer J.,Capdeville P.,60,102,590,428,6,2,6,4,,,,,,,2,0,Completed,1.4,2.75,1.44,2.67,1.444,2.625,1.429,3.13,1.5,2.5
2,Chennai,Chennai Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Serra F.,Navarro-Pastor I.,92,124,461,360,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.5,2.45,1.444,2.625,1.465,2.95,1.45,2.68
2,Chennai,Chennai Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Vardhan V.,97,944,438,10,6,1,6,2,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Youzhny M.,Vanek J.,19,101,1570,431,6,3,6,2,,,,,,,2,0,Completed,1.11,6,1.13,5.5,1.125,5.5,1.154,6.88,1.13,5.6
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Eschauer W.,Salva B.,66,326,565,110,7,6,5,7,6,4,,,,,2,1,Completed,1.4,2.75,1.5,2.45,1.444,2.625,1.513,2.8,1.45,2.68
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Vliegen K.,Gicquel M.,98,70,437,535,7,6,6,4,,,,,,,2,0,Completed,2.2,1.61,1.95,1.8,2,1.727,2.19,1.775,2.15,1.67
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Haase R.,Baghdatis M.,114,16,388,1600,6,3,6,4,,,,,,,2,0,Completed,4.5,1.16,3.9,1.25,3.75,1.25,4.75,1.241,3.8,1.25
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Peya A.,90,187,462,230,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,,,,,1.69,2.35,1.57,2.34
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Zovko L.,Ascione T.,759,94,19,449,6,4,6,0,,,,,,,2,0,Completed,2.62,1.44,,,,,3.7,1.333,3.1,1.35
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Nadal R.,Montcourt M.,2,123,5735,361,6,2,6,4,,,,,,,2,0,Completed,1.01,15,1.04,9.25,1.02,12,1.036,23,1.03,12
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Ram R.,Schukin Y.,253,122,160,363,7,6,7,6,,,,,,,2,0,Completed,1.53,2.37,,,,,1.641,2.46,,
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Mahut N.,Haase R.,45,114,683,388,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Moya C.,Gabashvili T.,17,125,1585,357,6,4,6,1,,,,,,,2,0,Completed,1.05,9,1.04,9.25,1.063,8,1.061,14,1.06,8.7
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Cilic M.,Troicki V.,71,127,533,357,3,6,7,6,6,1,,,,,2,1,Completed,1.44,2.62,1.45,2.6,1.444,2.625,1.581,2.62,1.52,2.45
2,Chennai,Chennai Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Kudryavtsev A.,Amritraj P.,255,278,159,137,6,3,4,6,7,6,,,,,2,1,Completed,1.53,2.37,,,,,,,,
2,Chennai,Chennai Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Youzhny M.,Roger-Vasselin E.,19,97,1570,438,7,5,1,6,6,2,,,,,2,1,Completed,1.12,5.5,1.1,6.25,,,1.137,7.58,1.12,5.85
2,Chennai,Chennai Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Serra F.,Vliegen K.,92,98,461,437,7,5,4,6,7,6,,,,,2,1,Completed,2,1.72,2.05,1.7,1.833,1.833,2.18,1.781,2.1,1.75
2,Chennai,Chennai Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Malisse X.,Melzer J.,112,60,390,590,7,6,6,2,,,,,,,2,0,Completed,1.57,2.25,1.65,2.15,1.571,2.25,1.719,2.29,1.62,2.24
2,Chennai,Chennai Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Moya C.,Kudryavtsev A.,17,255,1585,159,6,3,6,7,6,2,,,,,2,1,Completed,1.05,9,1.04,9.25,,,1.061,14,1.06,8.7
2,Chennai,Chennai Open,01/03/2008,International,Outdoor,Hard,2nd Round,3,Garcia-Lopez G.,Eschauer W.,90,66,462,565,4,6,7,5,7,6,,,,,2,1,Completed,1.4,2.75,1.37,2.92,1.444,2.625,1.38,3.43,1.45,2.68
2,Chennai,Chennai Open,01/03/2008,International,Outdoor,Hard,2nd Round,3,Cilic M.,Mahut N.,71,45,533,683,6,2,6,4,,,,,,,2,0,Completed,2.62,1.44,2.15,1.65,2.1,1.667,2.3,1.714,2.1,1.7
2,Chennai,Chennai Open,01/03/2008,International,Outdoor,Hard,2nd Round,3,Nadal R.,Ram R.,2,253,5735,160,6,2,6,1,,,,,,,2,0,Completed,1.005,17,1.01,13.5,1.015,13,1.025,28.5,1.01,25
2,Chennai,Chennai Open,01/03/2008,International,Outdoor,Hard,2nd Round,3,Haase R.,Zovko L.,114,759,388,19,6,1,7,5,,,,,,,2,0,Completed,1.28,3.5,1.3,3.35,1.286,3.5,1.324,3.79,1.25,3.8
2,Chennai,Chennai Open,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Moya C.,Serra F.,17,92,1585,461,6,3,6,4,,,,,,,2,0,Completed,1.3,3.39,1.35,3.1,1.3,3.4,1.351,3.65,1.33,3.2
2,Chennai,Chennai Open,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Nadal R.,Garcia-Lopez G.,2,90,5735,462,6,3,6,2,,,,,,,2,0,Completed,1.01,15,1.04,9.25,1.03,10,1.04,21,1.02,18
2,Chennai,Chennai Open,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Cilic M.,Haase R.,71,114,533,388,4,6,6,2,6,3,,,,,2,1,Completed,1.61,2.2,1.53,2.4,1.615,2.2,1.637,2.47,1.63,2.22
2,Chennai,Chennai Open,01/04/2008,International,Outdoor,Hard,Quarterfinals,3,Youzhny M.,Malisse X.,19,112,1570,390,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.87,1.87,1.833,1.833,1.87,2.05,1.94,1.82
2,Chennai,Chennai Open,01/05/2008,International,Outdoor,Hard,Semifinals,3,Youzhny M.,Cilic M.,19,71,1570,533,6,2,6,3,,,,,,,2,0,Completed,1.3,3.39,1.33,3.17,1.286,3.5,1.299,4.05,1.3,3.4
2,Chennai,Chennai Open,01/05/2008,International,Outdoor,Hard,Semifinals,3,Nadal R.,Moya C.,2,17,5735,1585,6,7,7,6,7,6,,,,,2,1,Completed,1.14,5,1.2,4.35,1.143,5,1.247,4.65,1.19,4.5
2,Chennai,Chennai Open,01/06/2008,International,Outdoor,Hard,The Final,3,Youzhny M.,Nadal R.,19,2,1570,5735,6,0,6,1,,,,,,,2,0,Completed,2.87,1.4,2.92,1.37,2.75,1.4,2.85,1.488,2.7,1.45
3,Doha,Qatar Exxon Mobil Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Volandri F.,Hartfield D.,40,89,731,466,4,6,6,3,7,6,,,,,2,1,Completed,1.8,1.9,1.87,1.87,,,1.952,1.952,1.82,1.94
3,Doha,Qatar Exxon Mobil Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Johansson T.,Andreev I.,62,33,583,890,6,1,6,0,,,,,,,2,0,Completed,2,1.72,2.1,1.7,2,1.727,2.32,1.704,2.08,1.71
3,Doha,Qatar Exxon Mobil Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Hernandez O.,32,58,905,602,6,3,6,1,,,,,,,2,0,Completed,1.1,6.5,1.11,5.84,1.111,6,1.161,6.61,1.11,6.4
3,Doha,Qatar Exxon Mobil Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Berrer M.,Haji A.,57,N/A,608,N/A,6,1,6,1,,,,,,,2,0,Completed,1.04,10,,,,,1.047,17.25,1.02,18
3,Doha,Qatar Exxon Mobil Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Lee H.T.,Mirnyi M.,51,152,642,280,6,3,6,2,,,,,,,2,0,Completed,1.57,2.25,1.48,2.53,1.571,2.25,1.524,2.78,1.52,2.45
3,Doha,Qatar Exxon Mobil Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Santoro F.,Seppi A.,37,50,807,659,6,4,1,6,6,2,,,,,2,1,Completed,1.72,2,1.78,1.97,1.727,2,1.735,2.26,1.76,2.02
3,Doha,Qatar Exxon Mobil Open,12/31/2007,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Koubek S.,18,47,1580,661,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.58,2.28,1.5,2.5,1.599,2.57,1.6,2.25
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Murray A.,Rochus O.,11,48,1755,661,6,0,6,2,,,,,,,2,0,Completed,1.16,4.5,1.18,4.45,1.2,4.333,1.212,5.31,1.22,4.1
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Schuettler R.,Pavel A.,99,75,433,518,1,6,6,2,6,0,,,,,2,1,Completed,2.1,1.66,2.05,1.75,1.909,1.8,2.14,1.806,2,1.77
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Tipsarevic J.,Ventura S.,52,87,632,473,3,6,6,3,6,4,,,,,2,1,Completed,1.16,4.5,1.2,4.25,1.2,4.333,1.227,5,1.16,4.95
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Calleri A.,Robredo T.,42,10,715,1765,6,4,6,4,,,,,,,2,0,Completed,2.62,1.44,2.45,1.5,2.75,1.4,2.81,1.51,2.7,1.44
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Wawrinka S.,Martin A.,36,143,820,308,6,2,6,2,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.2,4.333,1.226,5.03,1.23,4
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Davydenko N.,Dorsch B.,4,215,2825,191,6,3,6,0,,,,,,,2,0,Completed,1.08,7,1.1,6.25,1.1,6.5,1.111,8.75,1.1,6.75
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Kiefer N.,de Chaunac S.,49,377,660,90,6,4,6,3,,,,,,,2,0,Completed,1.12,5.5,1.15,5.2,1.125,5.5,1.187,5.84,1.14,5.4
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Rochus C.,Karlovic I.,194,22,218,1360,7,6,6,2,,,,,,,2,0,Completed,5,1.14,5.2,1.15,4.5,1.167,5.9,1.185,5.15,1.15
3,Doha,Qatar Exxon Mobil Open,01/01/2008,International,Outdoor,Hard,1st Round,3,Tursunov D.,Montanes A.,34,46,853,681,6,2,7,5,,,,,,,2,0,Completed,1.12,5.5,1.13,5.5,1.167,4.5,1.185,5.92,1.11,6.4
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Johansson T.,Berrer M.,62,57,583,608,6,3,7,5,,,,,,,2,0,Completed,1.44,2.62,1.42,2.75,1.5,2.5,1.45,3.02,1.36,3.05
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Volandri F.,32,40,905,731,6,4,6,1,,,,,,,2,0,Completed,1.19,4.33,1.2,4.25,1.286,3.5,1.25,4.6,1.22,4.1
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Ljubicic I.,Tipsarevic J.,18,52,1580,632,,,,,,,,,,,,,Walkover,1.3,3.4,1.3,3.35,1.3,3.4,1.323,3.8,1.27,3.62
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Tursunov D.,Kiefer N.,34,49,853,660,,,,,,,,,,,,,Walkover,2,1.72,2.1,1.65,2,1.727,2.45,1.645,2.07,1.72
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Wawrinka S.,Rochus C.,36,194,820,218,6,2,7,5,,,,,,,2,0,Completed,1.16,4.5,1.17,4.67,1.25,3.75,1.249,4.62,1.23,4
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Murray A.,Schuettler R.,11,99,1755,433,1,6,6,0,6,1,,,,,2,1,Completed,1.07,7.5,1.1,6.75,1.1,6.5,1.082,11.25,1.1,6.75
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Calleri A.,Lee H.T.,42,51,715,642,6,3,6,1,,,,,,,2,0,Completed,1.66,2.1,1.7,2.05,1.667,2.1,1.746,2.24,1.67,2.15
3,Doha,Qatar Exxon Mobil Open,01/02/2008,International,Outdoor,Hard,2nd Round,3,Davydenko N.,Santoro F.,4,37,2825,807,6,3,6,3,,,,,,,2,0,Completed,1.14,5,1.15,5.2,1.2,4.333,1.167,6.4,1.14,5.4
3,Doha,Qatar Exxon Mobil Open,01/03/2008,International,Outdoor,Hard,Quarterfinals,3,Ljubicic I.,Kohlschreiber P.,18,32,1580,905,6,3,6,7,6,3,,,,,2,1,Completed,1.5,2.5,1.55,2.35,1.5,2.5,1.488,2.85,1.55,2.38
3,Doha,Qatar Exxon Mobil Open,01/03/2008,International,Outdoor,Hard,Quarterfinals,3,Murray A.,Johansson T.,11,62,1755,583,7,6,6,0,,,,,,,2,0,Completed,1.16,4.5,1.25,3.75,1.25,3.75,1.239,4.79,1.24,3.9
3,Doha,Qatar Exxon Mobil Open,01/03/2008,International,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Calleri A.,36,42,820,715,6,3,6,0,,,,,,,2,0,Completed,1.61,2.2,1.67,2.12,1.667,2.1,1.649,2.44,1.68,2.14
3,Doha,Qatar Exxon Mobil Open,01/03/2008,International,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Tursunov D.,4,34,2825,853,7,5,6,3,,,,,,,2,0,Completed,1.19,4.33,1.3,3.35,1.3,3.4,1.235,4.85,1.27,3.62
3,Doha,Qatar Exxon Mobil Open,01/04/2008,International,Outdoor,Hard,Semifinals,3,Wawrinka S.,Ljubicic I.,36,18,820,1580,7,6,6,4,,,,,,,2,0,Completed,2,1.72,1.95,1.8,2.1,1.667,2.11,1.826,2.15,1.67
3,Doha,Qatar Exxon Mobil Open,01/04/2008,International,Outdoor,Hard,Semifinals,3,Murray A.,Davydenko N.,11,4,1755,2825,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.6,2.25,1.615,2.2,1.69,2.35,1.63,2.22
3,Doha,Qatar Exxon Mobil Open,01/05/2008,International,Outdoor,Hard,The Final,3,Murray A.,Wawrinka S.,11,36,1755,820,6,4,4,6,6,2,,,,,2,1,Completed,1.3,3.5,1.3,3.4,1.286,3.5,1.332,3.71,1.26,3.8
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Melzer J.,Eschauer W.,62,65,590,580,6,4,1,6,6,3,,,,,2,1,Completed,1.3,3.39,1.3,3.35,,,1.357,3.6,1.33,3.2
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Almagro N.,Acasuso J.,29,64,965,581,6,3,6,4,,,,,,,2,0,Completed,1.57,2.25,1.58,2.28,,,1.649,2.44,1.6,2.28
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Benneteau J.,Sela D.,74,66,521,573,6,4,7,6,,,,,,,2,0,Completed,1.61,2.25,1.6,2.25,1.571,2.25,1.758,2.22,1.6,2.28
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Chela J.I.,King-Turner D.,20,344,1425,102,5,7,6,2,7,5,,,,,2,1,Completed,1.06,8,,,1.063,8,1.065,13.5,1.05,9.5
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Mayer F.,Querrey S.,56,63,611,588,7,5,6,3,,,,,,,2,0,Completed,2.62,1.44,2.53,1.48,2.5,1.5,2.51,1.621,2.6,1.47
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Montanes A.,Statham R.,45,557,681,40,6,4,6,4,,,,,,,2,0,Completed,1.16,4.5,,,,,1.195,5.64,,
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Rochus O.,Berrer M.,55,52,616,621,6,7,6,2,6,4,,,,,2,1,Completed,1.61,2.2,1.65,2.15,1.667,2.1,1.725,2.28,1.67,2.15
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Russell M.,31,101,940,426,7,5,6,2,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.333,3.25,1.368,3.52,1.33,3.2
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Massu N.,Jones G.D.,80,1214,514,4,6,4,6,2,,,,,,,2,0,Completed,1.16,4.5,1.17,4.67,1.16,4.5,1.192,5.71,1.12,6
4,Auckland,Heineken Open,01/07/2008,International,Outdoor,Hard,1st Round,3,Roitman S.,Rosol L.,70,271,537,141,6,2,7,5,,,,,,,2,0,Completed,1.57,2.25,1.8,1.95,,,1.901,2.01,1.73,2.05
4,Auckland,Heineken Open,01/08/2008,International,Outdoor,Hard,1st Round,3,Cilic M.,Cakl T.,59,283,605,135,6,4,6,3,,,,,,,2,0,Completed,1.22,4,1.28,3.46,1.22,3.75,1.278,4.3,1.21,4.2
4,Auckland,Heineken Open,01/08/2008,International,Outdoor,Hard,1st Round,3,Ferrero J.C.,Levine J.,24,170,1340,242,6,4,6,1,,,,,,,2,0,Completed,1.16,4.5,,,1.2,4.333,1.222,5.1,1.18,4.6
4,Auckland,Heineken Open,01/08/2008,International,Outdoor,Hard,1st Round,3,Llodra M.,Lee H.T.,54,46,619,659,6,1,6,4,,,,,,,2,0,Completed,1.83,1.83,1.87,1.87,1.8,1.909,1.926,1.98,1.92,1.84
4,Auckland,Heineken Open,01/08/2008,International,Outdoor,Hard,1st Round,3,Ferrer D.,Hernandez O.,5,60,2750,602,6,1,6,2,,,,,,,2,0,Completed,1.02,12,1.04,9.25,1.063,8,1.056,15,1.02,15
4,Auckland,Heineken Open,01/08/2008,International,Outdoor,Hard,1st Round,3,Malisse X.,Nieminen J.,165,26,255,1075,7,6,6,3,,,,,,,2,0,Completed,1.72,2,1.87,1.87,1.727,2,1.833,2.1,1.8,1.96
4,Auckland,Heineken Open,01/09/2008,International,Outdoor,Hard,1st Round,3,Monaco J.,Johansson T.,23,49,1350,635,6,3,6,4,,,,,,,2,0,Completed,1.9,1.8,2.05,1.75,2,1.727,1.99,1.917,2.04,1.75
